Имя героя
Мета
Графики
Линии
Сыгранные матчи
Доля побед
Вклад в игру
Экономика
Juggernaut
Silencer
Anti-Mage
Earthshaker
Pudge
Axe
Necrophos
Witch Doctor
Wraith King
Medusa
Meepo
Vengeful Spirit
Legion Commander
Broodmother
Dawnbreaker
Ursa
Slardar
Spectre
Abaddon
Queen of Pain
Lifestealer
Shadow Shaman
Arc Warden
Nyx Assassin
Outworld Destroyer
Lich
Leshrac
Oracle
Phantom Lancer
Spirit Breaker
Ogre Magi
Alchemist
Lion
Clockwerk
Venomancer
Invoker
Disruptor
Clinkz
Centaur Warrunner
Dazzle
Undying
Snapfire
Pugna
Visage
Sniper
Huskar
Drow Ranger
Marci
Sven
Zeus
Skywrath Mage
Winter Wyvern
Troll Warlord
Warlock
Nature's Prophet
Ancient Apparition
Sand King
Chaos Knight
Lone Druid
Viper
Mirana
Magnus
Omniknight
Brewmaster
Weaver
Night Stalker
Lycan
Bane
Void Spirit
Windranger
Elder Titan
Tidehunter
Treant Protector
Phantom Assassin
Io
Riki
Crystal Maiden
Phoenix
Dragon Knight
Faceless Void
Grimstroke
Shadow Fiend
Tinker
Mars
Enigma
Rubick
Luna
Bounty Hunter
Bloodseeker
Razor
Enchantress
Primal Beast
Puck
Kez
Hoodwink
Underlord
Timbersaw
Ember Spirit
Storm Spirit
Dark Willow
Earth Spirit
Slark
Templar Assassin
Kunkka
Techies
Dark Seer
Shadow Demon
Jakiro
Keeper of the Light
Gyrocopter
Death Prophet
Morphling
Muerta
Bristleback
Terrorblade
Naga Siren
Tusk
Lina
Chen
Ringmaster
Beastmaster
Pangolier
Batrider
Tiny
Monkey King
Doom
